incremental-cost,incremental-dalys,moderate_case_dw_sample,severe_case_dw_sample
596891043.8722811,2406.4268499944255,0.05787947866605739,0.14721312145544518
619761968.7527127,3199.056174060094,0.0540423897255032,0.16112390000314034
621731366.5511988,2106.0494092543254,0.051951099096381556,0.10597157679155032
586337096.7841872,1901.6946503571744,0.04746251024435006,0.13259411222423476
611408254.2406367,3196.123976306507,0.05403939025129221,0.16234375091156777
586025671.1529819,2373.663815193451,0.045931757605772276,0.12236991986614273
472872560.1827779,1258.6700944341746,0.05253829721369812,0.12095916305738648
594246481.52412,2117.860870579094,0.052432721569047484,0.06524065916413915
617907409.4764024,2010.7192210750127,0.05186046937109476,0.14312574256771665
623171570.9419669,1699.1802267884984,0.05613670892045015,0.11045508202259115
580113197.6801047,2990.526244003321,0.05368319428424793,0.13699396442227618
373795681.448929,1565.875687907368,0.042788889935199616,0.1310000227276151
613583254.1286745,3413.6134055964067,0.041740379937635595,0.15968349960048633
599854796.1547593,3165.350827427356,0.0684259621701771,0.12074180193695704
491024902.27324426,1574.3181338406425,0.049397565696669116,0.12395190051392999
523912955.81531584,2077.4894473045024,0.05725200082838257,0.09892036357034219
604375044.0349549,2331.1859486264993,0.05524419585027602,0.08848749659306611
614460100.6560844,2695.0014564161365,0.03468739339856709,0.16720656819743712
559754546.333386,3366.4261047667123,0.047768388168712865,0.12041422042971416
558883854.0583411,1967.392732564916,0.07046167931693986,0.15556659509859105
614416509.3424983,2618.5623946335904,0.045565550208800355,0.12243479400280734
295271231.4264561,534.3217380753231,0.048283582831737844,0.1728166433889607
378930661.4619544,918.3413521570369,0.070580094507988,0.1205389519889181
622908295.6571823,1746.5114937795934,0.054308981236628424,0.13176904669878434
536737230.0297577,1898.4621834060945,0.05184784446570194,0.10017983689391644
559941722.0814037,1686.4103598493202,0.03800064508076565,0.16970904487767308
230485777.83586085,134.9224162218561,0.05916755057821122,0.14239459394513856
304912860.7539521,820.3120300187211,0.05146177826114864,0.13485799268217286
572947199.4902425,1188.7832320265488,0.05010438637863334,0.1405195973887435
509113204.8916354,1603.5661647932739,0.05476303910839376,0.09561985758294464
557831342.1692252,2937.0398295218356,0.045868540544591344,0.1510153422230159
611862030.4548681,1975.4304351636874,0.05611721398026134,0.16390971822159342
618194820.1980488,2964.7595307455167,0.06095310330968371,0.12422185712819618
563494650.7645764,2217.416593699737,0.05470766420270766,0.12840470972094523
620349317.8125954,2080.6748540018116,0.05425989773605035,0.1553002130601888
400215166.0168499,961.9338484036443,0.03830993827872531,0.1585308198687691
479381233.54211,1523.5390711303817,0.07496775666849786,0.13278250167015032
242261501.38384193,218.30372816484487,0.05211950911717289,0.13663880017716995
589564697.3396983,2319.568351646364,0.05544520284046286,0.1205137342967992
356656414.3007265,1046.2208042783714,0.046625798998553465,0.12639887798592805
611230432.8163164,3140.026239343053,0.05243699988208881,0.1327403129311633
272016310.4467343,385.22827838722696,0.05745988318351215,0.11261427080076819
612010954.8993882,3416.3744075750337,0.03485353881996638,0.13529591404258784
386185210.59013647,1428.3663145522369,0.04275885699123549,0.1686504446140863
566266695.3236805,1385.8327082997012,0.04100421759550582,0.09667912712163572
569740387.9618069,2247.398769948575,0.05108442200576742,0.11503510135215751
304401619.7486706,505.4758327670552,0.044010114857872526,0.10740600952100123
578991805.8171178,1387.629641512854,0.03321822573456208,0.16329373924400373
605028289.7855433,2367.552283707522,0.04124181146376837,0.11557892920870333
